"StatsOfUser";"Statistics of user"
"ListStudents";"List of students in this group"
"UserName";"Username"
"Name";"Last name"
"FirstName";"First name"
"NoEmail";"No email address specified"
"ShowAll";"Show all"
"ShowNone";"Show none"
"LoginsAndAccessTools";"Logins and access to tools"
"LoginsDetails";"Click on the month name for more details"
"LoginsTitleMonthColumn";"Month"
"LoginsTitleCountColumn";"Number of logins"
"NoResult";"No result"
"ExercisesResults";"Results of the exercises done"
"ExercisesDetails";"Scores of exercises done"
"ExercisesTitleExerciseColumn";"Exercise"
"ScoreMin";"Worst score"
"ScoreMax";"Best score"
"ScoreAvg";"Average score"
"ExeAvgTime";"Average Time"
"LastAttempt";"Last attempt"
"ExeTime";"Time"
"LearnPathDetails";"Progress in learning paths"
"NoLearningPath";"No learning path"
"WorkUploads";"Work uploads"
"WorksDetails";"Work uploaded by the student in the name of \'Authors\'"
"WorkTitle";"Work title"
"WorkAuthors";"Authors"
"DocumentsAccess";"Documents"
"DocumentsDetails";"Documents downloaded by the student"
"DocumentsTitleDocumentColumn";"Document"
"TrackForumUsage";"Forum usage"
"TrackTotalPosts";"Messages posted"
"TrackTotalTopics";"Topics started"
"LastMsg";"Last message"
"LastMsgs";"Last messages"
"topic";"Topic"
"ErrorUserNotInGroup";"Invalid user : this user doesn't exist in your group"
"TrackingDisabled";"Tracking has been disabled by system administrator."
"TrackNotEnoughAttempts";"You must reach the maximum number of allowed attempts to view these statistics."
"CannotSeeExerciseDetails";"Display of detailled answers is not authorized."
"StatsOfExerciseAttempt";"Statistics of exercise attempt"
"ExpectedChoice";"Expected choice"
"ElementList";"Element list"
"CorrespondsTo";"Corresponds to"
"NoTrackingForExerciseAttempt";""
"TrackExerciseError";"Details may be incorrect as it seems that some questions have change between this attempt and now."
"UserAccessDetails";"User access details"
"WrongOperation";"Wrong operation"
"LastAccess";"Last access"
"NbrAccess";"Access count"
"AnonymousUserAccessCount";"Anonymous users access count : "
"ToDate";"to"
"PeriodDay";"Day"
"PeriodWeek";"Week"
"PeriodMonth";"Month"
"PreviousMonth";"Previous month"
"NextMonth";"Next month"
"PreviousWeek";"Previous week"
"NextWeek";"Next week"
"PreviousDay";"Previous day"
"NextDay";"Next day"
"ViewToolList";"View list of all tools"
"StatsOfExercise";"Statistics of exercise"
"StatsOfQuestion";"Statistics of question"
"LearningPathList";"Learning path list"
"LastSessionTimeSpent";"Last session time"
"TotalTimeSpent";"Total time"
"LessonStatus";"Module status"
"NoModule";"No module"
"TimeInLearnPath";"Time in learning path"
"GlobalProgress";"Learning path progression : "
"TrackAllPath";"Learning paths tracking"
